,Topic,Representative Post
67,1,good luck guy plan purchase something soon
68,1,hope something get done soon
69,1,karencolletti praying trump prevail
70,1,fkerberg not american people prevail
71,1,yea supreme court saylet hope prevails sick stomach doe not
72,1,good evil evil good
73,1,google owl symbolism place far good evil
74,1,government corrupt chosing evil good
75,1,catholic born christian pope bad news
76,1,pope lose catholiccard disgraced church
77,1,guess vatican always pretty evil heartbreaking coming catholic
78,1,please lord heaven pray country
79,1,god almighty help chosen people
80,1,jesus please deliver evil
81,1,hallelujah holy shit where tylenol
82,1,hallelujah expose fraud lord
83,1,hallelujah praise god heaven thank father president donald trump
84,1,rest peace ashley thank great patriot
85,1,rest peace officer johnson thank service
86,1,rest peace sweet angel ignored msm
87,1,god bless president trump working expose fraud
88,1,pray corruption accounted for
89,1,many prayer corrupt election reversed
90,1,hail milly dark lord
91,1,lord put season else glory
92,1,amen give good fight
93,1,cockroach come night safe
94,1,light come cockroach scatter
95,1,look like hayden outing himself cockroach come running
96,1,bull shit fake news
97,1,ing mad bull shi keep getting away crap justice
98,1,bull shit crazy left
99,1,armor ready fight good fight
100,1,good never even though armor beforehand
101,1,ready armor god side not loose
102,1,prayingwe shine light corruption
103,1,jordan sharp beam light darkness
104,1,praying god she would light dark shadow world truly disturbing
105,1,left must soooo proud voting sorry excuse family
106,1,sooo sorry loss family god rest soul peace family
107,1,deepest sympathy family friend sorry loss
108,1,come live see happens
109,1,let see happens cozy
110,1,let try see happens
111,1,praying truly going happen
112,1,let pray never happens
113,1,pray happens not late
114,1,pure evil think stupid not give power evil
115,1,pure evil must fight
116,1,agree infant pure understanding evil temptation correct opinion
117,1,like dark rim either way beast mode
118,1,likely always dark side
119,1,keep coming checking part
120,1,got fine using apple map you
121,1,bad map not real factual
122,1,fake make map too
123,1,one get weird vibe ali alexander
124,1,love laugh good vibe
125,1,course good healing vibe rudy
126,1,totally agree would mark beast time
127,1,getting close mark beast
128,1,sound alot like mark beast
129,1,not real bright you
130,1,funfilly bright enough not reply like year old bright enough recognize traitor like you
131,1,you are not bright
132,1,ripoff king going bigtech buffoon
133,1,well buffoon not going get wish
134,1,well going get shot buffoon
135,1,heart broken look weary
136,1,bless heart look worse
137,1,sad sorry loss great american patriot
138,1,stick mask sun shine
139,1,did not anything wrong tell yale stick sun not shine
140,1,would like put gavel sun doe not shine
141,1,also believe obama earned nobel peace prize
142,1,president trump several nobel peace prize not know nobel noble longer
143,1,thanks tuning show nobel killed
144,1,someone win stupid prize
145,1,may prize cruel stupidity much competition year toss
146,1,stupid game win stupid prize end story common sense
147,1,batshit crazy comment removal day term over clear indication trump target
148,1,sorry pendejo guess redhatters listen none comment posted account take note sad trumpy boy girl assorted maga chimp comment not appear denied visibility via moderation setting not engage you piss off now waste time piss fuck off kid censored
149,1,time get twitter day ago getting pissed young punk censor adult know potus ask post here
150,1,weasel biden say would dark winter they are warming going get bad fast stay bad long time
151,1,dark winter biden talking
152,1,joe bidens america dark winter
153,1,felt strongly led lord lift prayer week now praying not god hedge protection strength alsolet weapon formed prosper jesus mighty name amen god bless you
154,1,weapon formed shall prosper arrow shoot god chosen turned back them amen
155,1,not one weapon formed president shall prosper jesus name amen
156,1,tell family ashli babbittthis movement seems bigger trump
157,1,ashli babbit never forgottenpraying family
158,1,death ashli babbit you scotus congress nobody else certainly not potus trump
159,1,pray come judgement day god give deserve
160,1,say she wrong hope get right lord judgement day approaching soon
161,1,agree say god hold judgement would agree arrange meeting
162,1,holy crap report long
163,1,holy crap going complete mother russia
164,1,holy shit may right
165,1,haha live suck cali
166,1,another reason not live cali
167,1,not live cali hate pecker
168,1,that path victory biden trump
169,1,wayne root trump pathway victory you are learn lesson trump rule
170,1,patriot praying president country pathway pathway win
171,1,real hard work destroy good world remember matter bad get jesus win
172,1,thank god good win evil
173,1,yes battle good evil
174,1,america rest world better pray united state mainstream medium happening london
175,1,get information rest america besides conservative
176,1,going future people not start waking fighting back
177,1,agreed hopefully trump move soon
178,1,think make move soon sure hope
179,1,sound like let then
180,1,would like know need put
181,1,and got sure would know
182,1,probably not least there hope
183,1,sad doe not amen mean change every word men now
184,1,amen make reference men word mean not english
185,1,embarrassment people read bible amen nothing gender
186,1,lost total faith institution
187,1,have lost faith justice department pray correct
188,1,have lost faith america system govern
189,1,keep praying keep faith
190,1,time pray keep praying
191,1,still going keep faith great analogy
192,1,also called uneducated condescending prick
193,1,uneducated welcome parler learn
194,1,keeping uneducated sheep way easier control
195,1,sorry deepest condolence family
196,1,sincere condolence family friend
197,1,condolence prayer family always sad lose love one
198,1,hey devin much kudos republican cali know fighting clown running state stay strong keep fighting cali life
199,1,spread word good people oregon washington bother none politician good list
200,1,awesome state legislator not follow covid rule dreaming montana right now not worry montanai cali conservative
201,1,yes trump cheat wife porn star pussy christian knee maybe trump saying assults woman grabbing puy get priest excited follower false prophet christ got wrecked election sin nature snowflake
202,1,rtcheli coming someone even show face think care say think joke sits behind keyboard talking ashamed show face obviously need attention goread bible pray come know lord love replace pathetic toxicity soul now
203,1,cluckeryduckery see according profile atheist weird religious atheist make part profile know stupid christian eye waste energy might look like waste precious time left anything look end time prophecy daniel revelation see fun literally nothing lose possible life gain perpetuity look like opposition research look end time youtube video might find odd comparison present time pray either way hope find way jesus change life joke
204,1,kill probably come back life antichrist
205,1,ibken likely believe have grown tired false prophet
206,1,antichrist appears know leading
207,1,simon parkes watch him
208,1,global wait see simon parkes video yesterday explains all keep faith share heck
209,1,dear familiar simon parkes
210,1,jawjadawg amen awoman confused anymore
211,1,amen awoman stop making word like latinx too
212,1,say amen awomen amoron
213,2,stick family thanksgiving period
214,2,god bless merry christmas
215,2,merry christmas god bless family
216,2,speedy recovery you will sure story tell about
217,2,speedy recovery motley beeyouteeful
218,2,god bless thank you sacrifice prayer speedy recovery
219,2,emily decorating christmas tree play christmas music
220,2,let pin ornament doctor christmas right sits
221,2,christmas decorating doe not start thanksgiving
222,2,insane rant hey genius one lately donald base
223,2,dmitrirazumikhin actually think genius know verified not concerned
224,2,did moment genius sometimes
225,2,got praying without ceasing
226,2,praying without ceasing strong
227,2,prayer almost without ceasing prayer warrior
228,2,rnc kayleigh mcenany press conference
229,2,love kayleigh mcenany one tough cookie really brings liberal mainstream medium hack
230,2,kayleigh mcenany delivers perfect parting shot unhinged liberal reporter heckle press briefing video
231,2,copied plan sharing thank ksorbs
232,2,great message thank sharing
233,2,sarcasm overwhelming thanks enjoyed post
234,2,beautiful elegant first lady history
235,2,beautiful intelligent classy first lady ever history usa even kennedy and remember her
236,2,worry melania trump rental time almost divorce free again
237,2,great role model many many young lady god bless great state
238,2,role model young woman look
239,2,great role model child
240,2,good time get put general flynn
241,2,keep hoping general flynn would give hint target
242,2,gen flynn official account
243,2,needed good laugh thanks
244,2,truthfully anticommie laughed loud
245,2,rhino love spot thanks needed laugh ever
246,2,trump not leaving office dumb fuks
247,2,trump not through yes leaving not done
248,2,not cry trump family face investigation leave
249,2,fabulous finding beyond compelling thanks hard work many prayer team
250,2,thank god hard work deperno
251,2,thank hard work appreciated
252,2,love kayleigh trump team way
253,2,love kayleigh standing president
254,2,kaya what feeling spirit
255,2,god bless you president trump thank everything did will awaiting return
256,2,thank much god bless family you are country
257,2,god bless sir thanks
258,2,time gen flynn release opinion head roll
259,2,micheal flynn head cia
260,2,trump reelected flynn head fbi
261,2,thanks mike keeping informed love daily report
262,2,thanks keeping real informed
263,2,thank hannity trying keep conservative informed
264,2,sad rip brave hero
265,2,thank great american truly rip
266,2,sad rip alex trebek
267,2,thanks trisha team phil
268,2,right trish big new year kiss fan
269,2,merry christmas trish family love following you
270,2,good morning great day
271,2,thank much merry christmas too
272,2,merry gitmas bitch stupid daughter too enjoy stay
273,2,happy veteran day grahamallen keep fighting good fight
274,2,happy veteran day served
275,2,not homosexuality got brother lol happy veteran day sir
276,2,yes yes yes pedophilles corrupt people
277,2,yes yes yes end madness
278,2,yes yes joint session them
279,2,candace now publicize apology everywhere
280,2,think real candace owen spell official correctly
281,2,sue ass candace owen won
282,2,thank may god bless keep strong
283,2,merry christmas may god almighty continueto bless
284,2,exactly stay strong prayer family
285,2,hideous man inside out
286,2,ugly inside piece trash
287,2,definitely ugly inside working way outward another high dollar hollow individual
288,2,happy birthday genflynn stand you
289,2,congratulation genflynn pardon well deserved
290,2,need two supreme court justice resign compromised genflynn
291,2,god bless president donald trump arrested traitor
292,2,trust you thank believing usa
293,2,strong sir fight country people love need lead country god bless usa
294,2,president brings tear eye yet again love him
295,2,absolutely brought tear eye extremely powerful
296,2,brings tear eye true patriot value freedom taken away ccp god bless him
297,2,today december thnot november
298,2,read speaking rally monday not wednesday
299,2,accident called decision hour friday
300,2,act like spoiled brat get jolly playing stupid evil game
301,2,spoiled brat not like losing election
302,2,not accept science spoiled rotten brat royalty still life bubble
303,2,god speed jenna elli
304,2,wow glad jenna elli team
305,2,thanks elli hearing wheel
306,2,plenty would stand tall
307,2,time frame tallahassee stop
308,2,stand tall west allis city not bullied
309,2,hell yes law book
310,2,hell yes will fight
311,2,hell yes settle nothing
312,2,not fat orange man sings not even warming
313,2,life beautiful patriot are not till fat lady sings
314,2,not fool heard fat lady sing heard thing may come fruition trump usa
315,2,many prayer you dad family
316,2,thank all god bless
317,2,hang fight right bless all
318,2,devin nunes president would great
319,2,watched documentary the plot president last night devinnunes american hero proud devin nunes
320,2,great show devin nunes
321,2,thank ellieb awesome helpful informationyou well loved
322,2,awesome ellie thank amazing post
323,2,still ellie thanks update blessing
324,2,not need telling either chicago crap hole shtick getting old real fast
325,2,might wise back basement real quick
326,2,figure shit getting real old real fast
327,2,congratulation god bless little self family
328,2,congratulation rach hope make lot money help needy child god bless business
329,2,sweet raised right congrats
330,2,love pray quick recovery
331,2,wondered going thanks quick recovery
332,2,prayer quick full recovery
333,2,jenna thing need talking war
334,2,jenna please tell fight not over please
335,2,chin jenna majority america you
336,2,congressman betrayed people voted you benefited foreigner not people
337,2,awhile foolishly elected man betrayed many
338,2,congress betrayed american people
339,2,thank god praying you
340,2,thank fighting difficult fight praying all
341,2,love you praying you
342,2,need win presidentgod bless
343,2,lion king best presidentgod bless president
344,2,love help young manregardless anything foul saygod bless you
345,2,terrystewart know wishful thinking
346,2,heard work trump supporter wishful thinking
347,2,nah wishful thinking part
348,2,really needed hear today god bless
349,2,thank mike needed hear today
350,2,thanks prayer needed disturbing
351,2,got home checked morning mine will drinking morning maybe afternoon
352,2,mine never needed shit
353,2,got mine too love coin
354,2,ibet going whole lot kyle rittenhouse
355,2,yeah end like kyle rittenhouse
356,2,kyle rittenhouse attorney step oann
357,2,made financial contribution yesterday thank stay safe god bless great usa
358,2,thank president done country sacrifice made god bless you
359,2,thank service member great country
360,2,she trying stay relevant
361,2,trying stay relevant like many others
362,2,keep talking want remain relevant
363,2,there enough ugliness one day thought would share something beautiful
364,2,well ugliest little pig
365,2,one ugliest people have ever seen lifeinside outside
366,2,hour long much information
367,2,interesting info always news
368,2,original post interesting quite insightful
369,2,keep special focus enemy within
370,2,franklin graham our nation attack within
371,2,especially occupied territory kkkommiefornia
372,2,great way inform uninformed msm watcher
373,2,wow informative interview end hope
374,2,post informative thank you
375,2,corruption aweful seriously doubt
376,2,awe poor baby little nervous
377,2,president time shock awe
378,2,goosebump tear god bless usa army
379,2,usa usamaxim emotionwe people election thank god
380,2,god bless president usa
381,2,contact theproudboys know news
382,2,cannot handle manliness trump theproudboys take hike
383,2,virginia wanting learn more please theproudboys
384,2,thanks samuel jackson good man
385,2,figure guy need worse thank buffer appreciate
386,2,praying good guy got
387,2,sing like canary concern every criminal saving butt
388,2,sure military visit singing like canary could avoid jail time
389,2,janinehalama involved would single like lovestruck canary would screaming name rooftop skyscraper
390,2,militia needed revolution either time went where militia assume are not needed
391,2,kkk militia group militia now
392,2,time support local militia coming
393,2,would support noem president trump
394,2,yes patriot chris miller people
395,2,yes agree donald trump president
396,2,year old marine echoed
397,2,happy birthday marine semper fidelis
398,2,semper marine sniper vietnam
399,2,terrible boating accident lost them
400,2,lost mine horrible boating accident willing lose life many time could take gun
401,2,standing plenty fishing rod tackle gun lost boating accident
402,2,give chance finish kept interrupting you great job jennaellisesq
403,2,jennaellisesq rudywgiuliani would true
404,2,merry christmas family jennaellisesq
405,2,thank wood happy thanksgiving yours god bless you
406,2,amen merry christmas yours
407,2,merry christmas yours god bless
408,2,leaving echo chamber precisely ended look happening
409,2,people like exactly reason country shape
410,2,plan then always easy tell people idea wrong not put idea there
411,2,posted facebook post false information however article found false according
412,2,content post false misleading
413,2,lazy really pas story around copy paste put spin
414,2,retard find safe space stay their another wipe blocked
415,2,pandorasmalls needed safe space would block hate there conversation stopper
416,2,let take break now tell best place vacation
417,2,still waiting trump pardon unibomber
418,2,trump need pardon soon
419,2,presidential pardon penny let democrat eat alive
420,2,praying president trump family
421,2,praise god keep going will not back praying sir
422,2,god bless keep care thank endless fight rote constitution
423,2,watched first video patiently waiting rest
424,2,monkey yeah wide awake waiting patiently
425,2,not cry patiently waiting see hang
426,2,prayed victory happy him
427,2,god bless him thank going
428,2,good bless him pray people wake
429,2,god bless thanks word encouragement
430,2,swear you are best thing internet thank word encouragement
431,2,thank encouragement vote patriot
432,2,call paranoid worried patrick byrne insider betraying president trump democrat always accuse side guilty hope wrong
433,2,patrick byrne explosive facilitated million bribe hillary clinton citizen free press
434,2,wby paul ryan visit obama home trump election ryan last year basement
435,2,short brilliant election theory nail happened like hammer truth waynedupreecom
436,2,video tucker carlson claiming medium colluded dem candidate machine rigged waynedupreecom
437,2,video joe biden allow birthday celebration like event lockdown administration waynedupreecom
438,2,unbelievable guy ended war anything person power
439,2,unbelievable people not get what happening
440,2,omg unbelievablehow guy not arrested
441,2,check patrick byrne twitter
442,2,davidfrench supreme court may say otherwise davey
443,2,art verbatim patrick byrne twitter thread
444,2,thank you show respect
445,2,sir love respect you
446,2,welcome thank done country
447,2,hopefully saw disturbing video criminal camera
448,2,know say really disturbing
449,2,doe not find disturbing
450,2,assange snowden need pardoned allowed free gentleman care people
451,2,pardon snowden assange shone light darkness hero mankind
452,2,let prove pardon snowden assange
453,2,yes could not understand that
454,2,cannot make work either
455,2,say were not rally
456,2,made year messiah obama make this
457,2,not think get this good one
458,2,idea knowledge politics would known recount
459,2,every night day think him pray
460,2,sometime today pray pst est today thanks
461,2,lol post prayer everyday pissem
462,2,reallystablegenius right opinion disagree respectful
463,2,respectfully disagree nepotism kiss death
464,2,that right save child
465,2,faith friend not time fall yet thing get better
466,2,sleep better see justice disturbing
467,2,trump choose friend better
468,2,right nobody trust law enforcement anymore one sided democratand corrupt get out local way president shame law ruin people life
469,2,bill barr coward weakling potus make sure fired trying cover egregious voter fraud never fear patriot god guide nation prosperity
470,2,time talk coming end president trump need solid action executed train leaf station people jail
471,2,praying recovery good health
472,2,get therapeutic nowhe need recover quickly
473,2,word sent recently fully recover everyone thanked prayer concern
474,2,yeah fuckin cop one give shit medium
475,2,fuck twitter still will not give satisfaction giving kind leverage
476,2,one give two say think
477,2,reason would say happy holiday thanksgiving hanukkah christmas new year week
478,2,happy hanukkah jewish friend christian
479,2,lovely twoo merry hanukkah christmas
480,2,chin chinese phone book
481,2,year old man chincville
482,2,result chinee that foot tall
483,2,julien assange pardoned given hero welcome home
484,2,feeling trump not pardon julian assange
485,2,pardon julian assange immediately
486,2,isaac kappy actor came spoke disgusting pedophilia hollywood brave man
487,2,tom hank kappy killed shitt anthony merked
488,2,yea well another isaac kappy incident general tell enemy next move
489,3,someone said one tracker ankle broken foot boot cover
490,3,walking cast covering gps ankle bracelet
491,3,real reason joe broke ankle
492,3,screw homeless guywoke clown dorsey could snap half without even breaking sweatthank goodness never signed garbage platform care
493,3,damn bitch doe not forehead she got fivehead bet sleep doe not dream beetlejuice movie
494,3,temper tantrum time aoc america obnoxious crybaby boo hoo little girl time cry sander shoulder move along turn back see everyone smiling
495,3,nasty nance love company
496,3,good socialist doe not belong politics bitch
497,3,fuck bitch doe not speak patriot
498,3,look like need good slap across face
499,3,haha karma slapping face like brave world series
500,3,award goof slap face many people
501,3,bearcat need discussion mother maybe would not asshole
502,3,let kill mother fucker take shit
503,3,cannot wait till day get internet read someone blown mother fucker head
504,3,shart pant not one
505,3,probably dang pant claim never cheated wife
506,3,made piss fucking pant
507,3,employee twitter would make fine guinea pig
508,3,get first guinea pig well them that wanted right
509,3,not rush guinea pig
510,3,absolute dumpster fire product dominion sure
511,3,liberal swear there dumpster fire even butt burning
512,3,pack shit inbred dumpster fire
513,3,good ole word ben jamin
514,3,sure ole pete husband called worse
515,3,good ole dick name suite well
516,3,sometimes stench refuse away kerry great example swamp stench
517,3,close mouth schumer smell feces
518,3,mean dog cutethe exactly imagined fat smelly hairy heshe
519,3,obama pussy pathological liar need sit
520,3,not give damn the man pathological liar
521,3,joe biden idiot pathological liar
522,3,dude dead war break
523,3,whatever dude syndrome trust plan
524,3,got know marios penis
525,3,obama asshole need shut piehole
526,3,money endsto shut piehole
527,3,tell chuck retodd shut pie hole
528,3,history butt wipe king turd
529,3,haha like giant turd
530,3,somehow managed look orange turd year
531,3,good move head roll
532,3,head need roll maga
533,3,new mexico join history make head roll
534,3,sucky fighting word yankee
535,3,craaaaaazzzyyyyy toy attic craaaaaaaazzzyyyy rainbow
536,3,jabinaise okay will see
537,3,creep going laugh like every garbage spews disgrace liar
538,3,another year spewing hate
539,3,back spewing lied not sound like leftist
540,3,will rent fuckin bus let roll patriot
541,3,let war drum roll baby
542,3,hard tel who patriot let roll pver crazy fascist
543,3,meant type good american lmfao
544,3,got rona shot lmao
545,3,lmfao beyond fixing point
546,3,conflict interest alone requires
547,3,make sense conflict interest
548,3,not smart not conflict interest
549,3,played libtard who cover ups
550,3,time play cowboy libtards
551,3,trust bunch rich libtards
552,3,yes fuck feeling faggot time take walk
553,3,novaxever camel also spit
554,3,least france take action faggot will not shit
555,3,crawl back cave communist
556,3,crawl back rinocrat fell
557,3,planet visiting from obviously ignorant constitution crawl back rock study little prove ignorance again
558,3,ryandarwin guy nut job ignore him
559,3,look eye nut job
560,3,nut job probably racist
561,3,belief fictional god tell everyone else believe typical liberal
562,3,tell not typical liberal
563,3,typical prevalent rino cunt
564,3,first wipe leftist excrement
565,3,demented waste human flesh
566,3,absolute piece human trash languishing chinese ccp prison instead two poor fellow
567,3,let start then piece crap stfu
568,3,redneck shrek stfu asking million
569,3,stupid stop soon stfu
570,3,got triggered snowflake you all enjoy safe space lmao
571,3,yup specially triggered mode
572,3,triggered probably allergic truth uttered
573,3,fuck fucking retarded fuck
574,3,ugly skin bleaching mexican retarded
575,3,congratulation fucking retard see truth
576,3,aoc always obnoxious communist
577,3,troll defendingon mewe rude obnoxiouslittle child
578,3,obnoxious alarm really insulting
579,3,winnieedward might make head explode
580,3,want see liberal head explode next four year entertaining
581,3,love see head explode treated like are
582,3,think threw mouth little
583,3,lindsey little finger got
584,3,thing face got stuck mouth
585,3,good let eat own
586,3,silver lining husband still worm food
587,3,omgi want let kiss
588,3,that funny people see communist biden control life sniff hair
589,3,old biden pas sniff test
590,3,biden want woman sniff
591,3,guess shit leave behind worthless piece shit
592,3,time give biden piss off
593,3,heard china man pay good post piss off
594,3,eat entire bag dick
595,3,eats whole dick every time
596,3,eat shit bark moon popeye
597,3,must living rock keep head sand make perfect target say when
598,3,point nothing violence work time pull head sand realize
599,3,get truth head sand
600,3,yea whitmer really bat shit crazy
601,3,bat shit crazy well bat shit stupid
602,3,know bat shit crazy
603,3,come suck dick loser
604,3,got dick sucking pillow biter
605,3,heathen blowjob gross penis belong mouth
606,3,you are leftist clown saw shit made public loser
607,3,you are full shit wallace
608,3,put high black boot you are full blown natzi
609,3,little dick guy hate strong woman
610,3,stupid little girl mocked smarter
611,3,guy small penis kind energy
612,3,another one come outwhat piece shit
613,3,another piece shit are
614,3,piece trash think god himself another swamper
615,3,typical radical left wing behavior
616,3,demoomcatthat expected acceptable behavior
617,3,assuming entitlement typical left
618,3,yeah that whore son roll kiss pirate joes buttock
619,3,republic butt hurt would took big blue dick
620,3,mouth big enough drive truck wonder got big
621,3,stout hearted englishman tell elitist frog pound sand walk away corrupt
622,3,republican better start fighting liked crazy trump pound sand
623,3,ask want tell pound sand find give shit
624,3,anything come msm mouth lie
625,3,sorryno one belief word coming lyin mouth
626,3,not believe word comeys mouth
627,3,problem get coming her called karma pity snake
628,3,love karma delivered second
629,3,karma bitch coming piece shit
630,3,candidate obama biden prison
631,3,karma dictate spend time obama cage cage located guantanamo
632,3,trump biggest mistake never putting clinton comey bidens jail
633,3,tell jerk talking head wrong thank
634,3,saw that going get ugly
635,3,jerk come night guess cannot afford give day job
636,3,give shit rope around neck hung thar crack want hear worth noting breaking news grrrrrrrrrrrrrrrrrrrrrrrrr
637,3,get them tiger grrrrr
638,3,there not freakn thing grrr
639,3,awww poor snowflake conservitard hahaha
640,3,awww growing like daddy
641,3,aww poor trump nobody like anymore
642,3,liar liar pant fire hope get dessert
643,3,liar liar pant firehoe
644,3,liar wish pant would catch fire
645,3,going need lot baseball bat reeducate lot teacher professor
646,3,baseball bat across face probably remind behave public next time out
647,3,met baseball bat mob
648,3,pathetic liersthey make skin crawl
649,3,know dude skin suit basement give creep
650,3,creep make skin crawl
651,3,agree wholeheartedly could anyone right mind vote man
652,3,never thought cotton would cave two expect
653,3,one right mind voted thing
654,3,bingo another one paid off
655,3,paid off sad god fearing patriot not give
656,3,one cannot blind must paid off
657,3,tell stick federal boot right
658,3,need massive mobilization boot ground get vote
659,3,fool need booted office hold now
660,3,someone shut pathetic bitch lock interference
661,3,someone get bitch another drink
662,3,somebody need shoot bitch
663,3,fuck guy fuck right off
664,3,hey jill not chinese fuck off
665,3,yes please chiba fuck off
666,3,completely clueless devoid rational thought lacking journalistic integrity
667,3,think disagree without intellectually dishonest
668,3,transgender seems want push belief everyone everyone want transgender talk delusional
669,3,suckerpunchcamo nobody love proud boy
670,3,piss washington dick suckeryou
671,3,fuck biden dick sucker
672,3,recognize two scumbags front rowone far right far left
673,3,row bottom right priest
674,3,second row extreme left tallest kid
675,4,shut buying not even know you are running for loser harris radical left nut job got vote california running nuclear code make feel america
676,4,new party thing not viable think could totally destroy republican party many stick around because tribe reason vote party because not option way would work voted republican life conservative always lesser two evil one side coin not everything lock step trump actual conservative party ill not vote again
677,4,better yet republican congress need find spine fight voter stop pushed around democrat you are seriously biggest bunch push around
678,4,time new party really represents people
679,4,danacriswell start patriot party
680,4,time new political party
681,4,could get rhino same
682,4,republican rhino even dangerous
683,4,rhino not familiar well
684,4,paul ryan lobby chinese rino traitor
685,4,well courage object penn that trump supporter turned another traitor rino
686,4,course left power thanks rinos
687,4,able term jim jordan
688,4,jim jordan turn stop steal hearing
689,4,heck jim jordan name
690,4,lizard need give rat
691,4,not tell think alien lizard ppl
692,4,lizard guy need salting
693,4,least could spineless bastard
694,4,gop filled spineless traitor
695,4,are not truth gop leadership full spineless weasel hate insult spineless weasel
696,4,boycott vote republican big time flood poll
697,4,republican democrat sitting table counting vote
698,4,fix election fraud possible win georgia senate race
699,4,mitt dumbacrat republican clothing
700,4,abrams need jail cell mitt romney
701,4,jail cell mitten romney
702,4,name roger stone jail
703,4,not big fan roger stone set big time
704,4,roger stone donald trump path forward
705,4,will vote democrat vote lindsey again
706,4,fight never see another conservative elected again lifetime
707,4,agree vote again idc
708,4,fuck you commie vote purdue loeffler stop infiltrating conservative post
709,4,bout get vote rally atlanta jan loeffler perdue
710,4,perdue loeffler commit hey want win runoff
711,4,actually trey gowdy someone hosting page name
712,4,official check not trey gowdy
713,4,really wish trey gowedy appointed special council
714,4,swift strike again lol
715,4,jim jones strike grave again
716,4,ahthe great community organizer strike like snake again
717,4,another swamp creature rino appears
718,4,another swamp creature knew ago
719,4,pickle head swamp creature cannot wait gone
720,4,tulsi right wise word
721,4,love tulsi please not give keep speaking truth
722,4,leave dark side tulsilisten heart
723,4,make industrial oven great again
724,4,live make hanging great again
725,4,making parler great again
726,4,plenty people warned guy part swamp
727,4,supersize take fight swamprats
728,4,sometimes get swamp want
729,4,boycott georgia runoff election
730,4,stupid enough boycott senate runoff election feewies hurt might trump supporter
731,4,yes please that every republican georgia boycott january runoff election
732,4,agree ppl continue reelect reelect rino decade decade
733,4,pray loses speakership least keep reelecting her they
734,4,talk actionnow time make historyexpose corruption reelect true winner
735,4,oxigine thief need taken out
736,4,asshole need taken out
737,4,really need take trash out
738,4,lion need fed zoo
739,4,get rid elephant bring lion
740,4,zoo fitting this whatever
741,4,fec chairman trey trainor believe fraud place law not followed make illegitimate election
742,4,fec chairman say belief there voter fraud key state
743,4,trey trainor chairman federal election commission call election illegitimate
744,4,true california still many seat house
745,4,georgia trump know going
746,4,think georgia know what going
